"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.date","end.date","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","bearing"
"1","PP10","M01073-2003",127.769066922866,0,0.00311682318857319,0.0116911708783144,0.118045398080435,0,1000,2005-06-01,2005-08-31,13,5,-87.7811,32.6017,-86.924167,33.499722,21.9478260869565,142.732260869565,0,0,91,38.5533085094869
"2","PP1001","M01073-2003",714.324751904242,2,0.00123787292601217,0.565689757874399,0.806192589066508,0,1000,2005-06-01,2005-08-31,13,5,-87.4272,39.9239,-86.924167,33.499722,21.9478260869565,232.484772727273,0,4,91,176.240193342698
"3","PP10075","M01073-2003",1593.80156245968,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.9111,47.5314,-86.924167,33.499722,21.9478260869565,15.3283,0,22,91,166.426053730021
"4","PP1008","M01073-2003",537.596801913453,1,-0.00104680848335396,0.848274858245208,0.94015688439843,0,1000,2005-06-01,2005-08-31,13,5,-85.8381,38.2636,-86.924167,33.499722,21.9478260869565,177.649362068966,0,34,91,190.832479902533
"5","PP1010","M01073-2003",670.675136164426,2,0.00149867561086009,0.536632473160908,0.788385979088247,0,1000,2005-06-01,2005-08-31,13,5,-87.4247,39.53,-86.924167,33.499722,21.9478260869565,193.883464788732,0,21,91,176.016033026789
"6","PP1012","M01073-2003",490.692849219548,1,0.00102165883281169,0.797846131270042,0.918159811469254,0,1000,2005-06-01,2005-08-31,13,5,-87.3267,37.91,-86.924167,33.499722,21.9478260869565,17.1713448275862,0,5,91,175.623889039476
"7","PP10343","M01073-2003",1232.49791473649,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-76.4539,40.8092,-86.924167,33.499722,21.9478260869565,1.51985227272727,0,4,91,232.177386089927
"8","PP1040","M01073-2003",722.547855738559,2,0.00241415848867966,0.0879412619014351,0.348833672209026,0,1000,2005-06-01,2005-08-31,13,5,-84.8953,39.8028,-86.924167,33.499722,21.9478260869565,35.7298695652174,0,0,91,195.154828099957
"9","PP1043","M01073-2003",557.913857299672,1,0.00326753281582248,0.247638464288754,0.58603079759242,0,1000,2005-06-01,2005-08-31,13,5,-87.2662,38.5201,-86.924167,33.499722,21.9478260869565,52.81425,0,40,91,176.730076028786
"10","PP1046","M01073-2003",1051.64371018122,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-90.6527,42.506,-86.924167,33.499722,21.9478260869565,6.44823684210526,0,54,91,160.687527283581
