"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.day","end.day","year","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","inmapPM"
"1","PP10","M48029-0059",1071.17517742905,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.7811,32.6017,-98.311692,29.275381,NA,142.732260869565,92,0,91,0.00191663
"2","PP1001","M48029-0059",1544.14212016964,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4272,39.9239,-98.311692,29.275381,NA,232.484772727273,92,4,91,1.945e-05
"3","PP10075","M48029-0059",2124.68314495821,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.9111,47.5314,-98.311692,29.275381,NA,15.3283,92,22,91,1.17e-06
"4","PP1008","M48029-0059",1523.48249430797,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-85.8381,38.2636,-98.311692,29.275381,NA,177.649362068966,92,34,91,6.15e-06
"5","PP1010","M48029-0059",1512.83031981546,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.4247,39.53,-98.311692,29.275381,NA,193.883464788732,92,21,91,2.497e-05
"6","PP1012","M48029-0059",1396.91714922319,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.3267,37.91,-98.311692,29.275381,NA,17.1713448275862,92,5,91,2.33e-06
"7","PP10343","M48029-0059",2359.08359510313,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.4539,40.8092,-98.311692,29.275381,NA,1.51985227272727,92,4,91,1e-08
"8","PP1040","M48029-0059",1693.53497523876,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-84.8953,39.8028,-98.311692,29.275381,NA,35.7298695652174,92,0,91,1.63e-06
"9","PP1043","M48029-0059",1445.32181747113,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-87.2662,38.5201,-98.311692,29.275381,NA,52.81425,92,40,91,5.25e-06
"10","PP1046","M48029-0059",1621.00542257334,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.6527,42.506,-98.311692,29.275381,NA,6.44823684210526,92,54,91,1.01e-06
"11","PP1048","M48029-0059",1569.82670382977,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.2345,41.8081,-98.311692,29.275381,NA,15.2080543478261,92,0,91,1.71e-06
"12","PP1058","M48029-0059",1531.8178360481,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6686,41.9839,-98.311692,29.275381,NA,3.2285,92,84,91,NA
"13","PP1073","M48029-0059",1528.8573041971,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.6386,41.9439,-98.311692,29.275381,NA,13.1931463414634,92,10,91,4.81e-06
"14","PP1077","M48029-0059",1499.65412114371,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-92.8627,42.0472,-98.311692,29.275381,NA,8.76861038961039,92,15,91,3.75e-06
"15","PP10773","M48029-0059",1971.8785856808,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-79.2726,37.1183,-98.311692,29.275381,NA,0.383228915662651,92,9,91,4.6e-07
"16","PP10774","M48029-0059",2148.22700862611,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-76.9953,36.6525,-98.311692,29.275381,NA,0.516945652173913,92,0,91,5.5e-07
"17","PP108","M48029-0059",991.125719928495,3,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-100.9725,37.9306,-98.311692,29.275381,NA,4.60642391304348,92,0,91,8.975e-05
"18","PP1081","M48029-0059",1535.17424965457,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-90.4483,41.5404,-98.311692,29.275381,NA,8.83638202247191,92,3,91,6.1e-07
"19","PP1091","M48029-0059",1458.34284271215,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-96.3797,42.3251,-98.311692,29.275381,NA,69.104988372093,92,6,91,5.24e-05
"20","PP1104","M48029-0059",1430.2654988868,NA,NA,NA,NA,NA,1000,"06-01","08-31",2005,13,5,-91.1168,40.7412,-98.311692,29.275381,NA,15.6445384615385,92,1,91,2.92e-06
